Start Time,Duration,Title,Bookmark,Country,show_name,season,episode_name,year,month,weekday,day,hour_day,date,month_name,weekday_name,minutes,hours
2021-01-03 22:42:22-07:00,0 days 00:51:04,The Little Prince,01:08:40,CA (Canada),The Little Prince,,,2021,1,6,3,22,2021-01-03,January,Sunday,51.06666666666667,0.8511111111111112
2021-01-03 22:08:37-07:00,0 days 00:14:12,The Little Prince,00:18:56,CA (Canada),The Little Prince,,,2021,1,6,3,22,2021-01-03,January,Sunday,14.2,0.23666666666666666
2021-01-03 19:32:02-07:00,0 days 00:04:52,The Little Prince,00:04:44,CA (Canada),The Little Prince,,,2021,1,6,3,19,2021-01-03,January,Sunday,4.866666666666666,0.0811111111111111
2021-01-02 23:40:34-07:00,0 days 00:01:18,Dream Home Makeover: Season 1: Forever Home (Episode 1),00:01:23,CA (Canada),Dream Home Makeover, Season 1, Forever Home (Episode 1),2021,1,5,2,23,2021-01-02,January,Saturday,1.3,0.021666666666666667
2021-01-02 23:00:45-07:00,0 days 00:27:39,Dream Home Makeover: Season 2: Bedroom Oasis (Episode 6),00:27:44,CA (Canada),Dream Home Makeover, Season 2, Bedroom Oasis (Episode 6),2021,1,5,2,23,2021-01-02,January,Saturday,27.65,0.4608333333333333
2021-01-02 22:32:55-07:00,0 days 00:24:27,Dream Home Makeover: Season 2: Mountain Retreat Makeover (Episode 5),00:24:07,CA (Canada),Dream Home Makeover, Season 2, Mountain Retreat Makeover (Episode 5),2021,1,5,2,22,2021-01-02,January,Saturday,24.45,0.4075
2021-01-02 19:55:37-07:00,0 days 00:24:14,Dream Home Makeover: Season 2: Restoring History (Episode 4),00:24:19,CA (Canada),Dream Home Makeover, Season 2, Restoring History (Episode 4),2021,1,5,2,19,2021-01-02,January,Saturday,24.233333333333334,0.4038888888888889
2021-01-02 19:23:29-07:00,0 days 00:26:50,Dream Home Makeover: Season 2: Bath Hideaway (Episode 3),00:26:17,CA (Canada),Dream Home Makeover, Season 2, Bath Hideaway (Episode 3),2021,1,5,2,19,2021-01-02,January,Saturday,26.833333333333332,0.44722222222222224
2021-01-01 23:29:22-07:00,0 days 00:26:16,Dream Home Makeover: Season 2: Midcentury Makeover (Episode 2),00:26:13,CA (Canada),Dream Home Makeover, Season 2, Midcentury Makeover (Episode 2),2021,1,4,1,23,2021-01-01,January,Friday,26.266666666666666,0.43777777777777777
2021-01-01 23:01:17-07:00,0 days 00:26:43,Dream Home Makeover: Season 2: Luxury Estate (Episode 1),00:26:16,CA (Canada),Dream Home Makeover, Season 2, Luxury Estate (Episode 1),2021,1,4,1,23,2021-01-01,January,Friday,26.716666666666665,0.4452777777777778
